label,index,latency_ms,gap_ms
demo-synthetic,0,4.947000,
demo-synthetic,1,9.050900,0.004200
demo-synthetic,2,8.144700,0.004300
demo-synthetic,3,4.872500,0.002300
demo-synthetic,4,9.669200,0.000400
demo-synthetic,5,8.759600,0.001400
demo-synthetic,6,9.227800,0.000900
demo-synthetic,7,10.543600,0.001100
demo-synthetic,8,9.355300,0.001300
demo-synthetic,9,8.114200,0.002700
demo-synthetic,10,5.957900,0.015200
demo-synthetic,11,10.611000,0.000900
demo-synthetic,12,8.160800,0.001600
demo-synthetic,13,5.180300,0.001100
demo-synthetic,14,9.221500,0.001400
demo-synthetic,15,5.876700,0.000700
demo-synthetic,16,5.638200,0.000300
demo-synthetic,17,11.154000,0.001600
demo-synthetic,18,11.253700,0.001500
demo-synthetic,19,5.130000,0.000500
demo-synthetic,20,8.959200,0.014700
demo-synthetic,21,11.037800,0.001100
demo-synthetic,22,4.865700,0.001400
demo-synthetic,23,5.258400,0.000700
demo-synthetic,24,6.646900,0.000500
demo-synthetic,25,5.885700,0.002700
demo-synthetic,26,4.902100,0.000600
demo-synthetic,27,6.657900,0.001200
demo-synthetic,28,8.992600,0.001500
demo-synthetic,29,4.529200,0.000700
demo-synthetic,30,5.525000,0.015200
demo-synthetic,31,8.728500,0.000300
demo-synthetic,32,8.248900,0.001600
demo-synthetic,33,11.479300,0.001600
demo-synthetic,34,5.699300,0.003000
demo-synthetic,35,10.674500,0.001800
demo-synthetic,36,4.842900,0.001900
demo-synthetic,37,10.223800,0.001000
demo-synthetic,38,5.446200,0.001400
demo-synthetic,39,5.800600,0.000400
demo-synthetic,40,9.604000,0.014800
demo-synthetic,41,5.873200,0.001600
demo-synthetic,42,4.566500,0.000700
demo-synthetic,43,8.995400,0.000200
demo-synthetic,44,5.108400,0.001200
demo-synthetic,45,8.347700,0.001900
demo-synthetic,46,6.931400,0.001800
demo-synthetic,47,5.026000,0.001100
demo-synthetic,48,6.803400,0.000400
demo-synthetic,49,8.989700,0.000300
